Line,From Station Id,To Station Id,Distance (Kms),Off Peak Running Time (mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
4,52,265,0.95,1.48,2.07,2.09
4,265,242,0.55,1.15,1.5,1.5
4,242,209,0.77,1.4,1.5,1.5
4,209,110,0.93,1.85,2,2
4,110,17,0.68,1.43,2,2
4,17,293,0.64,1.28,1.5,1.5
4,293,74,0.9,2.17,2.63,3.3
4,213,141,2.14,3.1,3.02,3
4,141,108,1.71,2.42,3,3
4,108,265,1.59,2.6,4.02,3.67
4,299,300,1.5,2.82,3,3
4,300,231,1.45,2.18,2,2
4,231,80,1.53,2.37,2.5,2.5
4,80,205,1.11,1.85,2,2
4,205,195,0.95,1.92,2,2
4,195,96,0.79,1.48,2,2
4,96,287,0.84,1.57,1.5,1.5
4,287,74,0.6,1.42,3.44,3.24
4,138,74,1.54,2.73,3.65,3.94
4,74,122,1.26,3.05,3.58,3.12
4,122,186,0.93,1.68,2,2
4,186,18,0.79,1.77,2,2
4,18,193,0.98,1.63,2.45,2.01
4,193,83,0.82,2.15,2.5,2.5
4,74,99,0.93,1.92,2.53,2.65
4,99,236,0.74,1.43,1.5,1.5
4,236,229,1.22,1.98,2,2
4,229,273,1.05,1.8,2,2
4,273,248,0.72,1.42,1.5,1.5
4,248,285,0.76,1.5,2,2
4,285,87,0.69,1.37,2,2
4,87,255,0.71,1.37,2,2
4,255,25,0.76,1.4,2,2
4,25,161,0.61,1.52,1.98,1.52
4,161,44,0.31,0.98,1,1
4,44,166,0.34,0.97,1.5,1.5
4,166,263,0.68,1.8,2.08,2.43
4,263,3,0.8,1.88,2.91,2.21
4,3,295,0.82,2.17,2.72,2.76
4,295,244,1,2.05,2,2
4,244,164,1.05,1.73,2,2
4,164,33,0.55,1.27,1.51,1.5
4,33,36,1.01,2.12,2,2
4,36,289,1.37,2,2,2
4,289,200,0.76,1.43,2.04,2
4,200,270,1.29,1.97,2,2
4,270,78,1.4,2.02,2,2
4,78,15,2.29,3.78,3.9,4.06
4,15,269,1.38,1.97,2.05,2.01
4,269,21,1.87,2.33,2.5,2.51
4,21,67,1.37,1.88,2.5,2.51
4,67,66,1.35,1.85,2.22,2.3
4,66,85,2.37,2.85,3,3
4,85,129,1.5,2.05,2.5,2.5
4,129,268,1.26,1.77,2,2
4,268,267,1.24,2.32,2.03,2.01
5,174,253,2.27,3.62,4,4
5,175,253,2.04,2.8,3.5,3.5
5,253,41,0.55,1.47,1.5,1.5
5,41,216,0.32,0.85,1,1
5,216,276,0.51,1.17,1.5,1.5
5,276,225,0.77,1.43,1.5,1.5
5,225,295,0.98,1.98,2.5,2.17
5,295,228,0.72,1.85,2,2
5,228,295,0.72,1.6,2,2
5,295,225,0.98,1.82,2,2
5,225,276,0.77,1.3,1.5,1.5
5,276,216,0.51,1.17,1.5,1.5
5,216,41,0.32,0.93,1,1
5,41,253,0.55,1.7,2,2.09
5,253,174,2.27,4.27,4.5,4.5
5,253,175,2.04,3.88,3.5,3.5
